segmento,valor,clientes
Moda,2814324.49,3777
Joalheria,667043.02,278
Calçados,490199.59,1038
Esportes,416036.25,999
Gastronomia,414791.23,2254
Telefonia,349593.29,96
Beleza e Bem-estar,284850.38,999
Ótica,257472.61,155
Eletrodomésticos,165540.7,428
Casa e Decoração,154509.51,242
Não informado,117311.87,144
Moda Feminina,110400.69,140
Presentes e Acessórios,73615.27,219
Eletrônicos,66122.3,40
Papelaria,52744.14,322
Livrarias,50517.9,390
Pets,50235.5,268
Infantil,41878.75,197
Farmácias,39107.66,308
Serviços,10598.02,365
