segmento,valor,clientes
Moda,4112860.42,4611
Joalheria,1207674.06,531
Beleza e Bem-estar,1016875.77,2104
Calçados,1008687.19,1560
Moda Feminina,608481.82,634
Casa e Decoração,563093.11,663
Infantil,478121.9,1098
Gastronomia,469614.63,2372
Esportes,460914.36,828
Eletrônicos,415834.31,203
Telefonia,354089.96,83
Presentes e Acessórios,298130.75,816
Ótica,267900.99,213
Eletrodomésticos,202196.15,65
Livrarias,83090.84,513
Calçados Femininos,59780.770000000004,128
Serviços,52382.17,466
Papelaria,50070.47,262
Supermercado,37920.96,398
Farmácias,8016.16,52
