quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,5.0,1.0,349.9,Garten Shopping
40%,9.0,2.0,583.956,Garten Shopping
60%,13.0,3.0,933.9879999999993,Garten Shopping
80%,19.0,6.0,1619.6460000000002,Garten Shopping
20%,4.0,1.0,355.86400000000003,Neumarkt Shopping
40%,8.0,2.0,636.848,Neumarkt Shopping
60%,12.0,4.0,1048.778,Neumarkt Shopping
80%,17.0,7.0,1895.9060000000013,Neumarkt Shopping
20%,5.0,1.0,324.822,Nações Shopping
40%,9.0,2.0,506.0300000000001,Nações Shopping
60%,12.0,3.0,805.4999999999998,Nações Shopping
80%,20.0,5.0,1396.5660000000003,Nações Shopping
20%,5.0,1.0,349.98,Continente Shopping
40%,9.0,2.0,599.49,Continente Shopping
60%,13.0,4.0,948.13,Continente Shopping
80%,20.0,6.0,1601.92,Continente Shopping
20%,4.200000000000273,1.0,419.67400000000004,Balneário Shopping
40%,8.0,2.0,770.868,Balneário Shopping
60%,13.0,4.0,1302.422,Balneário Shopping
80%,20.0,6.0,2452.900000000002,Balneário Shopping
20%,4.0,1.0,334.356,Norte Shopping
40%,8.0,2.0,538.79,Norte Shopping
60%,13.0,3.0,899.1600000000001,Norte Shopping
80%,21.0,6.0,1569.6960000000001,Norte Shopping
