segmento,valor,clientes
Moda,240266.58,484
Casa e Decoração,118425.02,316
Supermercado,97586.69,326
Gastronomia,79913.63,536
Calçados,78654.47,221
Esportes,76630.37,200
Eletrônicos,65957.2,43
Eletrodomésticos,64285.06,220
Beleza e Bem-estar,47796.53,255
Telefonia,45201.77,48
Joalheria,21479.55,31
Presentes e Acessórios,21245.74,123
Farmácias,16122.130000000001,111
Infantil,15945.61,88
Pets,14431.93,105
Fast Food,11454.65,104
Papelaria,11320.25,106
Outros,10033.0,4
Livrarias,7041.5,79
Ótica,4123.16,9
