loja,valor,clientes
Havan,118425.02,316
Atacadão,97586.69,326
Centauro,62846.82,156
Pittol,61704.200000000004,172
Riachuelo,46080.15,166
Renner,40253.090000000004,151
Samsung,36815.0,11
Bkko,36334.85,41
Beagle,32943.89,43
Magazine Luiza,27133.97,13
Casas Bahia,23660.61,15
Motorola,20904.0,4
Burger King,19600.19,129
Game Mania,17649.1,14
World Tennis,16850.37,53
Claro,16481.48,6
Panvel Farmácias,16122.130000000001,111
Hering,15886.87,48
Idéli.oui,15089.0,54
Mc Donalds ,14856.45,132
