quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,17.0,1.0,241.84200000000004,Garten Shopping
40%,19.0,2.0,440.4000000000001,Garten Shopping
60%,21.59999999999991,2.0,728.8279999999999,Garten Shopping
80%,26.0,4.0,1269.0680000000002,Garten Shopping
20%,8.0,1.0,179.54,Nações Shopping
40%,19.0,2.0,368.4800000000001,Nações Shopping
60%,21.0,2.0,647.5259999999998,Nações Shopping
80%,24.0,4.0,1155.342,Nações Shopping
20%,9.0,1.0,240.55400000000003,Continente Shopping
40%,18.800000000000068,2.0,449.0,Continente Shopping
60%,21.0,3.0,753.956,Continente Shopping
80%,25.0,5.0,1386.756000000001,Continente Shopping
20%,10.0,1.0,320.18000000000006,Balneário Shopping
40%,18.0,2.0,591.368,Balneário Shopping
60%,21.0,3.0,1036.8600000000001,Balneário Shopping
80%,25.0,5.0,1942.6520000000003,Balneário Shopping
20%,15.0,1.0,199.974,Norte Shopping
40%,20.0,2.0,379.98400000000004,Norte Shopping
60%,22.0,3.0,599.976,Norte Shopping
80%,27.0,4.0,939.834,Norte Shopping
20%,7.0,1.0,259.97200000000004,Neumarkt Shopping
40%,18.0,2.0,459.62,Neumarkt Shopping
60%,21.0,3.0,776.9340000000001,Neumarkt Shopping
80%,25.0,5.0,1400.9600000000005,Neumarkt Shopping
