faixa_etaria,qtd_clientes,valor_total,pct_clientes
16-24 (Gen Z),99,113338.31,4.70532319391635
25-39 (Millennials),731,1009688.42,34.743346007604565
40-54 (Gen X),959,1430474.27,45.57984790874524
55-69 (Boomers),273,393707.37,12.975285171102662
70+ (Silent),40,54151.8,1.9011406844106464
Nao Informado,2,3250.36,0.09505703422053231
