segmento,valor,clientes
Moda,776370.79,1339
Gastronomia,218878.41,1102
Joalheria,180099.44,104
Telefonia,173412.85,49
Esportes,155097.74,460
Casa e Decoração,138076.75,114
Calçados,137100.18,420
Infantil,102890.68,283
Beleza e Bem-estar,100909.29,492
Eletrodomésticos,75785.81,278
Papelaria,66128.89,372
Moda Feminina,64060.35,127
Livrarias,46214.45,329
Ótica,45425.04,45
Eletrônicos,37814.8,24
Pets,32379.54,207
Presentes e Acessórios,29662.08,127
Farmácias,22877.66,244
Serviços,5636.9,2
Lazer,158.8,2
