dia_semana,valor,transacoes
Domingo,382183.39,1727
Quarta,340463.54,1606
Quinta,319861.45,1452
Sabado,346426.1,1800
Segunda,369726.64,1530
Sexta,303252.32,1612
Terca,347133.01,1725
