shopping_principal,qtd_clientes,valor_total,ticket_medio,vip_hist,vip_valor_hist,vip_ticket_hist,premium_hist,premium_valor_hist,premium_ticket_hist,potencial_hist,potencial_valor_hist,potencial_ticket_hist,pontual_hist,pontual_valor_hist,pontual_ticket_hist,vip_periodo,vip_valor_periodo,vip_ticket_periodo,premium_periodo,premium_valor_periodo,premium_ticket_periodo,potencial_periodo,potencial_valor_periodo,potencial_ticket_periodo,pontual_periodo,pontual_valor_periodo,pontual_ticket_periodo,high_spenders,pct_valor
Balneário Shopping,1725,2261348.13,1310.926452173913,729,1386728.46,1902.2338271604938,294,388406.76,1321.1114285714286,335,330120.78,985.4351641791046,367,156092.13,425.31915531335153,306,1212740.53,3963.204346405229,409,584537.03,1429.185892420538,420,306066.19,728.7290238095238,590,158004.38,267.8040338983051,263,24.26
Garten Shopping,2139,2096173.3,979.9781673679289,637,1100579.41,1727.7541758241757,408,420711.42,1031.1554411764705,524,373534.68,712.8524427480916,570,201347.79,353.2417368421053,217,986483.25,4546.005760368664,338,466116.81,1379.0438165680473,540,386333.36,715.4321481481481,1044,257239.88,246.39835249042147,181,22.48
Neumarkt Shopping,2019,2076125.34,1028.2938781575037,792,1221269.94,1542.0075,372,389971.19,1048.3096505376345,410,301994.29,736.5714390243902,445,162889.92,366.04476404494386,252,1012119.07,4016.3455158730158,354,493188.4,1393.187570621469,474,340590.91,718.5462236286919,939,230226.96,245.18313099041532,211,22.27
Continente Shopping,1972,1831977.19,928.9945182555781,559,834911.46,1493.5804293381036,342,391157.67,1143.7358771929823,484,380068.25,785.264979338843,587,225839.81,384.73562180579216,198,800858.51,4044.7399494949495,335,464413.57,1386.3091641791045,448,318255.21,710.3910937500001,991,248449.9,250.70625630676085,167,19.65
Norte Shopping,610,580822.31,952.1677213114755,179,255843.63,1429.2940223463688,110,128572.19,1168.8380909090909,140,129213.46,922.9532857142858,181,67193.03,371.2322099447514,71,271572.27,3824.961549295775,99,134403.77,1357.6138383838384,152,107452.89,706.9269078947368,288,67393.38,234.00479166666668,54,6.23
Nações Shopping,668,476193.31,712.8642365269461,182,221864.47,1219.0355494505495,94,77447.71,823.9118085106384,142,88473.78,623.0547887323944,250,88407.35,353.62940000000003,46,170247.41999999998,3701.030869565217,74,99771.57,1348.2644594594597,160,114258.91,714.1181875,388,91915.41,236.89538659793814,38,5.11
