shopping_principal,qtd_clientes,valor_total,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,vip_quintis,vip_valor_quintis,vip_ticket_quintis,premium_quintis,premium_valor_quintis,premium_ticket_quintis,potencial_quintis,potencial_valor_quintis,potencial_ticket_quintis,pontual_quintis,pontual_valor_quintis,pontual_ticket_quintis,pct_valor
Balneário Shopping,1725,2261348.13,3.0,3.0,3.0,9.0,1310.926452173913,270,841784.54,3117.7205185185185,486,859829.09,1769.195658436214,572,426958.5,746.4309440559441,397,132776.0,334.448362720403,24.26
Garten Shopping,2139,2096173.3,3.0,3.0,3.0,9.0,979.9781673679289,309,574254.24,1858.4279611650486,648,914327.11,1410.9986265432099,697,508622.27999999997,729.7306743185078,485,98969.67,204.06117525773195,22.48
Neumarkt Shopping,2019,2076125.34,3.0,3.0,3.0,9.0,1028.2938781575037,313,701954.61,2242.666485623003,585,824774.1,1409.8702564102564,640,446306.09,697.3532656250001,481,103090.54,214.32544698544697,22.27
Continente Shopping,1972,1831977.19,3.0,3.0,3.0,9.0,928.9945182555781,290,548828.6,1892.5124137931034,577,803244.7,1392.105199306759,647,378608.57,585.1755332302937,458,101295.32,221.1688209606987,19.65
Norte Shopping,610,580822.31,3.0,3.0,3.0,9.0,952.1677213114755,87,144974.62,1666.3749425287356,173,266593.86,1541.0049710982657,220,140972.29,640.7831363636363,130,28281.54,217.5503076923077,6.23
Nações Shopping,668,476193.31,3.0,3.0,3.0,9.0,712.8642365269461,99,188280.71,1901.8253535353535,181,151728.67,838.2799447513813,234,108565.25,463.9540598290598,154,27618.68,179.34207792207792,5.11
