segmento,valor,clientes
Moda,220016.81,278
Joalheria,79853.3,26
Gastronomia,57596.61,216
Beleza e Bem-estar,53074.57,148
Casa e Decoração,35368.05,42
Moda Feminina,30769.58,26
Infantil,27014.66,97
Calçados,25475.829999999998,54
Ótica,24804.98,12
Presentes e Acessórios,20258.7,61
Esportes,18602.85,49
Livrarias,11754.33,85
Telefonia,11227.96,4
Eletrônicos,4841.610000000001,3
Supermercado,3161.25,47
Papelaria,2413.5,20
Farmácias,2105.77,25
Calçados Femininos,1995.0,1
Serviços,1035.5,21
Eletrodomésticos,451.37,3
