quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,21.0,1.0,319.8,Global
40%,35.0,2.0,530.152,Global
60%,50.0,3.0,872.3659999999999,Global
80%,55.0,5.0,1614.5880000000004,Global
