shopping_principal,qtd_clientes,valor_total,ticket_medio,vip_hist,premium_hist,potencial_hist,pontual_hist,vip_periodo,premium_periodo,potencial_periodo,pontual_periodo,high_spenders,pct_valor
Balneário Shopping,3609,5802379.89,578.8184440406103,1237,603,752,1017,782,837,919,1071,558,23.72
Continente Shopping,4384,5497827.48,519.9336647603949,915,718,1131,1620,655,934,1204,1591,461,22.47
Garten Shopping,4870,5213362.31,478.1806582824695,1049,804,1161,1856,588,895,1382,2005,387,21.31
Neumarkt Shopping,3412,4332569.07,511.5609701523255,1209,631,711,861,557,715,909,1231,383,17.71
Nações Shopping,2107,1959987.86,433.01367813867535,320,309,504,974,197,398,602,910,127,8.01
Norte Shopping,1861,1656848.58,444.02137695432185,342,251,456,812,191,290,517,863,109,6.77
