shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Balneário Shopping,Premium,1,Moda,372767.28,48.88,698,385
Balneário Shopping,Premium,2,Moda Feminina,82082.98,10.76,69,62
Balneário Shopping,Premium,3,Joalheria,80390.5,10.54,52,47
Balneário Shopping,Premium,4,Calçados,65125.2,8.54,126,108
Balneário Shopping,Premium,5,Beleza e Bem-estar,63718.88,8.35,223,172
Balneário Shopping,Premium,6,Infantil,23655.9,3.1,95,71
Balneário Shopping,Premium,7,Telefonia,21995.0,2.88,12,7
Balneário Shopping,Premium,8,Eletrônicos,18207.95,2.39,10,9
Balneário Shopping,Premium,9,Ótica,17437.13,2.29,11,11
Balneário Shopping,Premium,10,Esportes,17271.4,2.26,45,40
Balneário Shopping,VIP,1,Moda,1434592.16,41.41,2527,953
Balneário Shopping,VIP,2,Joalheria,721083.95,20.81,207,160
Balneário Shopping,VIP,3,Beleza e Bem-estar,351502.95,10.15,927,533
Balneário Shopping,VIP,4,Calçados,246444.35,7.11,364,283
Balneário Shopping,VIP,5,Moda Feminina,225267.37,6.5,177,135
Balneário Shopping,VIP,6,Infantil,118816.31,3.43,410,249
Balneário Shopping,VIP,7,Gastronomia,118762.07,3.43,1242,452
Balneário Shopping,VIP,8,Eletrônicos,103300.01000000001,2.98,50,46
Balneário Shopping,VIP,9,Casa e Decoração,77624.83,2.24,130,97
Balneário Shopping,VIP,10,Ótica,67120.01,1.94,50,46
Continente Shopping,Premium,1,Moda,426543.36,43.29,885,458
Continente Shopping,Premium,2,Joalheria,153813.24,15.61,91,80
Continente Shopping,Premium,3,Calçados,83359.05,8.46,203,160
Continente Shopping,Premium,4,Telefonia,72669.87,7.38,28,25
Continente Shopping,Premium,5,Esportes,48518.7,4.92,144,117
Continente Shopping,Premium,6,Casa e Decoração,46979.979999999996,4.77,61,53
Continente Shopping,Premium,7,Eletrodomésticos,43476.68,4.41,93,66
Continente Shopping,Premium,8,Gastronomia,43412.16,4.41,679,237
Continente Shopping,Premium,9,Ótica,34959.7,3.55,33,29
Continente Shopping,Premium,10,Beleza e Bem-estar,31585.93,3.21,175,138
Continente Shopping,VIP,1,Moda,726941.53,32.05,1716,646
Continente Shopping,VIP,2,Joalheria,495783.78,21.86,138,108
Continente Shopping,VIP,3,Telefonia,313477.33,13.82,80,55
Continente Shopping,VIP,4,Gastronomia,168256.01,7.42,2993,499
Continente Shopping,VIP,5,Calçados,129242.08,5.7,352,253
Continente Shopping,VIP,6,Eletrodomésticos,107118.29000000001,4.72,355,163
Continente Shopping,VIP,7,Beleza e Bem-estar,105848.9,4.67,560,309
Continente Shopping,VIP,8,Esportes,86050.07,3.79,324,216
Continente Shopping,VIP,9,Casa e Decoração,72601.93000000001,3.2,124,94
Continente Shopping,VIP,10,Eletrônicos,63106.71,2.78,29,21
Garten Shopping,Premium,1,Moda,413998.55,45.88,946,522
Garten Shopping,Premium,2,Joalheria,127069.61,14.08,88,82
Garten Shopping,Premium,3,Calçados,84632.1,9.38,186,153
Garten Shopping,Premium,4,Esportes,63473.880000000005,7.03,149,128
Garten Shopping,Premium,5,Casa e Decoração,44286.04,4.91,151,123
Garten Shopping,Premium,6,Moda Feminina,42090.91,4.66,50,41
Garten Shopping,Premium,7,Beleza e Bem-estar,39258.89,4.35,127,114
Garten Shopping,Premium,8,Presentes e Acessórios,30315.98,3.36,119,102
Garten Shopping,Premium,9,Gastronomia,30129.420000000002,3.34,445,239
Garten Shopping,Premium,10,Telefonia,27038.260000000002,3.0,8,7
Garten Shopping,VIP,1,Moda,848213.95,38.52,1738,729
Garten Shopping,VIP,2,Joalheria,539342.97,24.5,175,153
Garten Shopping,VIP,3,Calçados,147706.61,6.71,333,256
Garten Shopping,VIP,4,Telefonia,142085.24,6.45,43,36
Garten Shopping,VIP,5,Gastronomia,111956.51,5.08,1839,447
Garten Shopping,VIP,6,Moda Feminina,102887.76,4.67,117,88
Garten Shopping,VIP,7,Esportes,89839.48,4.08,216,167
Garten Shopping,VIP,8,Casa e Decoração,88891.13,4.04,344,223
Garten Shopping,VIP,9,Beleza e Bem-estar,78109.4,3.55,231,170
Garten Shopping,VIP,10,Eletrônicos,52802.100000000006,2.4,57,31
Nações Shopping,Premium,1,Moda,199790.0,48.8,422,202
Nações Shopping,Premium,2,Joalheria,47227.42,11.53,32,28
Nações Shopping,Premium,3,Calçados Femininos,30885.399999999998,7.54,32,30
Nações Shopping,Premium,4,Esportes,29047.96,7.09,58,52
Nações Shopping,Premium,5,Eletrônicos,26723.02,6.53,10,10
Nações Shopping,Premium,6,Casa e Decoração,21603.52,5.28,59,46
Nações Shopping,Premium,7,Calçados,19040.23,4.65,44,39
Nações Shopping,Premium,8,Beleza e Bem-estar,13902.14,3.4,91,69
Nações Shopping,Premium,9,Gastronomia,12928.42,3.16,263,75
Nações Shopping,Premium,10,Infantil,8286.55,2.02,31,27
Nações Shopping,VIP,1,Moda,331538.48,51.49,621,247
Nações Shopping,VIP,2,Eletrônicos,66584.11,10.34,12,12
Nações Shopping,VIP,3,Joalheria,63796.03,9.91,33,29
Nações Shopping,VIP,4,Esportes,38055.65,5.91,70,59
Nações Shopping,VIP,5,Gastronomia,29666.5,4.61,535,122
Nações Shopping,VIP,6,Calçados Femininos,29060.84,4.51,30,29
Nações Shopping,VIP,7,Calçados,26538.25,4.12,73,55
Nações Shopping,VIP,8,Beleza e Bem-estar,24784.39,3.85,152,112
Nações Shopping,VIP,9,Casa e Decoração,23943.14,3.72,104,67
Nações Shopping,VIP,10,Pets,9913.85,1.54,93,59
Neumarkt Shopping,Premium,1,Moda,261119.19,38.49,577,381
Neumarkt Shopping,Premium,2,Joalheria,90291.61,13.31,70,64
Neumarkt Shopping,Premium,3,Calçados,58437.19,8.61,145,123
Neumarkt Shopping,Premium,4,Ótica,49395.64,7.28,23,21
Neumarkt Shopping,Premium,5,Beleza e Bem-estar,48239.46,7.11,173,139
Neumarkt Shopping,Premium,6,Telefonia,38777.22,5.72,17,12
Neumarkt Shopping,Premium,7,Presentes e Acessórios,36252.84,5.34,61,53
Neumarkt Shopping,Premium,8,Moda Feminina,33583.91,4.95,43,38
Neumarkt Shopping,Premium,9,Esportes,31701.31,4.67,84,71
Neumarkt Shopping,Premium,10,Casa e Decoração,30539.29,4.5,118,89
Neumarkt Shopping,VIP,1,Moda,811878.76,37.7,1793,825
Neumarkt Shopping,VIP,2,Joalheria,322947.02,15.0,185,154
Neumarkt Shopping,VIP,3,Beleza e Bem-estar,167331.85,7.77,593,397
Neumarkt Shopping,VIP,4,Gastronomia,146324.97,6.79,2269,521
Neumarkt Shopping,VIP,5,Moda Feminina,146191.35,6.79,166,127
Neumarkt Shopping,VIP,6,Ótica,137991.54,6.41,57,50
Neumarkt Shopping,VIP,7,Calçados,127310.04,5.91,304,245
Neumarkt Shopping,VIP,8,Presentes e Acessórios,110745.46,5.14,155,133
