loja,valor,clientes
Casas Bahia,1018295.93,496
Havan,1010486.67,2231
Atacadão,654058.31,1526
Pittol,635319.06,1724
Samsung,578907.87,186
Renner,503290.99,1483
Centauro,457246.95,1051
Riachuelo,423341.8,1391
Magazine Luiza,419182.3,231
CVC,329401.31,41
NXT Eletric,258851.0,35
Idéli.oui,248734.71,491
Toni Toys ,211658.4,623
Claro,208652.38999999998,98
Game Mania,203296.65,93
Superlegal Brinquedos,202698.38,718
Vivara,175858.49,150
Polo Wear,171736.36000000002,585
JCanedo,157940.78,248
Paquetá,156499.08000000002,446
