segmento,valor,clientes
Moda,9617172.04,12677
Joalheria,2989614.18,1345
Calçados,1812638.95,4797
Esportes,1479488.45,3307
Beleza e Bem-estar,1265654.84,3098
Gastronomia,1262988.92,5927
Serviços,1164185.69,1225
Casa e Decoração,1043897.4,2867
Presentes e Acessórios,992345.15,3766
Telefonia,884676.94,303
Infantil,860211.14,2709
Ótica,719063.8,865
Eletrônicos,557922.93,447
Farmácias,435321.81,1899
Moda Feminina,354806.94,458
Eletrodomésticos,337167.55,158
Livrarias,252687.79,1838
Papelaria,170236.72,1201
Pets,116658.61,794
Kids,30310.61,323
