shopping,sigla,transacoes,clientes,valor_total,ticket_medio,idade_media,threshold_hs,qtd_high_spenders
Balneário Shopping,BS,7401,1982,1825105.3499999999,920.8402371342078,42.96214033316507,1999.717,199
Continente Shopping,CS,6123,1802,2264145.3499999996,1256.462458379578,43.66407551360356,2857.887,181
Neumarkt Shopping,NK,7164,2118,2030988.91,958.9182766761095,44.83136513934814,2154.7729999999997,212
Garten Shopping,GS,2173,737,636515.0,863.6567164179105,41.85733695652174,2005.1799999999996,74
Norte Shopping,NR,7492,2147,2086922.6099999999,972.0179832324172,42.41511194029851,1963.6640000000004,215
Nações Shopping,NS,2069,675,478962.36,709.5738666666666,40.29080118694362,1446.4080000000004,68
