faixa_etaria,segmento,valor,clientes,ranking
25-39 (Millennials),Moda,1018578.9,1728,1
25-39 (Millennials),Joalheria,330335.86,166,2
25-39 (Millennials),Casa e Decoração,168223.04,404,3
25-39 (Millennials),Gastronomia,153383.21,1108,4
25-39 (Millennials),Beleza e Bem-estar,150976.93,561,5
55-69 (Boomers),Moda,482263.99,681,1
55-69 (Boomers),Joalheria,106301.49,64,2
55-69 (Boomers),Telefonia,103480.5,27,3
55-69 (Boomers),Casa e Decoração,89544.44,188,4
55-69 (Boomers),Beleza e Bem-estar,83918.26,205,5
40-54 (Gen X),Moda,1520597.03,2341,1
40-54 (Gen X),Joalheria,378654.08,229,2
40-54 (Gen X),Beleza e Bem-estar,249743.42,846,3
40-54 (Gen X),Casa e Decoração,242676.29,530,4
40-54 (Gen X),Gastronomia,241081.14,1610,5
16-24 (Gen Z),Moda,77163.98,158,1
16-24 (Gen Z),Eletrônicos,31535.6,12,2
16-24 (Gen Z),Joalheria,29278.63,26,3
16-24 (Gen Z),Beleza e Bem-estar,22721.42,60,4
16-24 (Gen Z),Gastronomia,17020.21,111,5
70+ (Silent),Moda,56729.63,86,1
70+ (Silent),Serviços,37864.45,1,2
70+ (Silent),Casa e Decoração,22602.78,37,3
70+ (Silent),Moda Feminina,15013.07,20,4
70+ (Silent),Eletrônicos,10907.0,3,5
Nao Informado,Moda,3180.6400000000003,6,1
Nao Informado,Beleza e Bem-estar,2103.65,2,2
Nao Informado,Telefonia,1999.0,1,3
Nao Informado,Presentes e Acessórios,314.5,1,4
Nao Informado,Gastronomia,200.8,3,5
