persona,qtd_clientes,valor_total,ticket_medio,freq_media,idade_media,pct_clientes,pct_valor
Cliente Regular,7376,6712605.61,286.8377709762502,3.742136659436009,41.09716379427331,80.76207160845287,72.0032728112825
Senior Tradicional,1169,1126893.11,534.6146102081551,2.2634730538922154,62.145423438836616,12.79973721668674,12.087704349501411
Comprador Seletivo,198,1097323.51,4481.977718855219,1.2828282828282829,38.717171717171716,2.167962334391766,11.770523794077642
Jovem Explorer,339,176650.17,274.6761234021632,1.9705014749262537,22.920353982300885,3.7118142997919628,1.8948514364855455
Mae Moderna,16,100907.23,225.27559541477186,32.0,43.0,0.17518887550640536,1.0823890501621216
Executivo Exigente,12,58461.41,170.66702152320138,31.0,42.75,0.131391656629804,0.6270907450441199
Jovem Engajado,19,35100.79,146.69805825555594,14.526315789473685,22.94736842105263,0.20803678966385633,0.37651128415714213
Senior VIP,4,14697.75,170.09906845238095,23.0,63.25,0.04379721887660134,0.1576565292895298
