loja,valor,clientes
Havan,61814.4,145
Atacadão,45138.15,160
Pittol,33017.07,82
Riachuelo,21984.84,74
Renner,17983.079999999998,72
Magazine Luiza,12824.220000000001,6
Centauro,10287.560000000001,34
Lojas Americanas,8569.39,103
Cobasi,7933.58,59
Burger King,7906.44,73
Samsung,7685.0,2
Mc Donalds ,7544.12,64
Mini Kalzone,7482.05,100
Beagle,5967.57,7
Paquetá,5818.610000000001,18
Superlegal Brinquedos,5547.96,30
Leo Cosméticos,4637.27,51
Casas Bahia,4361.0,6
Polo Wear,4328.27,10
Livrarias Catarinense,3815.7799999999997,33
