quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,4.0,1.0,199.0,Global
40%,7.0,1.0,356.6000000000001,Global
60%,12.0,1.0,608.3,Global
80%,18.0,2.0,1064.3600000000001,Global
