perfil_cliente,qtd_clientes,valor_total,ticket_medio,frequencia_media,pct_clientes,pct_valor
VIP,364,7078465.58,19446.334010989012,1.848901098901099,42.62,89.44
Premium,138,497608.39,3605.8578985507247,1.710144927536232,16.16,6.29
Potencial,144,238510.82,1656.325138888889,1.3402777777777777,16.86,3.01
Pontual,208,100011.77,480.8258173076923,1.2548076923076923,24.36,1.26
