cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
138898,259.5,1,1,Balneário Shopping,Feminino,Moda,5,4,2,11,Premium
138964,874.5,1,1,Balneário Shopping,Feminino,Moda,5,4,4,13,VIP
139087,417.5,1,0,Balneário Shopping,Masculino,Moda,5,4,2,11,Premium
139091,250.0,1,1,Balneário Shopping,Feminino,Moda,5,4,1,10,Premium
139126,635.0,2,1,Balneário Shopping,Masculino,Moda,5,5,3,13,VIP
139167,597.5,1,1,Balneário Shopping,Feminino,Moda,5,4,3,12,Premium
139214,169.0,1,0,Balneário Shopping,Feminino,Moda,5,4,1,10,Premium
139247,479.5,1,0,Balneário Shopping,Feminino,Moda,5,4,3,12,Premium
139269,159.8,1,0,Neumarkt Shopping,Masculino,Moda,5,3,2,10,Premium
139280,518.0,1,0,Balneário Shopping,Feminino,Moda,5,4,3,12,Premium
139311,101.88999999999999,2,0,Balneário Shopping,Feminino,Beleza e Bem-estar,5,5,1,11,Premium
139333,638.5,1,0,Balneário Shopping,Feminino,Moda,5,4,3,12,Premium
139349,916.5,1,0,Balneário Shopping,Feminino,Moda,5,4,4,13,VIP
139378,358.0,2,0,Balneário Shopping,Feminino,Moda,5,5,2,12,Premium
139480,879.6,2,0,Continente Shopping,Masculino,Calçados,5,5,5,15,VIP
139540,343.21,1,0,Continente Shopping,Masculino,Calçados,5,4,3,12,Premium
139547,4314.0,1,0,Balneário Shopping,Feminino,Moda,5,4,5,14,VIP
139618,159.0,1,0,Balneário Shopping,Feminino,Moda,5,4,1,10,Premium
