quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,79.0,1.0,259.9,Global
40%,81.0,2.0,475.57,Global
60%,84.0,3.0,827.9599999999999,Global
80%,86.0,5.0,1539.5620000000004,Global
