segmento,valor,clientes
Moda,122845.93000000001,259
Gastronomia,71584.74,352
Casa e Decoração,38487.74,121
Beleza e Bem-estar,37854.48,153
Joalheria,32242.53,28
Calçados,20947.03,60
Esportes,16655.64,55
Presentes e Acessórios,16481.57,38
Eletrônicos,15822.18,14
Livrarias,12813.89,92
Farmácias,11575.67,74
Papelaria,10590.36,69
Pets,10196.76,52
Moda Feminina,9005.16,14
Ótica,7298.72,6
Telefonia,7270.0,2
Infantil,7167.6,33
Eletrodomésticos,6998.51,101
Serviços,1441.0,43
Salão de Beleza | Barbearia,1048.0,1
