loja,valor,clientes
Renner,334773.42,965
Havan,236244.84,784
Vivara,229622.38999999998,93
Centauro,209282.29,528
Le Lis ,194847.24,78
Riachuelo,184285.92,647
Livrarias Catarinense,163668.3,918
Cvc Viagens,160799.77000000002,12
Shoulder,158817.96,153
Kalunga,148820.11,682
Life by Vivara,118601.65,140
Hering Store,118389.79000000001,327
Madero,118031.37,425
Track & Field,111416.09,161
Adidas,96563.02,175
Vivo,89038.29000000001,30
Camicado,88416.42,264
Brooksfield,83525.45,63
Me.Linda,82504.28,458
Cia do Homem,80088.2,110
