segmento,valor,clientes
Moda,3925565.99,5093
Joalheria,1678985.69,531
Calçados,908601.12,1763
Esportes,590805.97,1145
Gastronomia,532726.74,2807
Telefonia,514543.99,158
Eletrônicos,443366.23,198
Beleza e Bem-estar,402635.21,1073
Casa e Decoração,391450.48,1042
Moda Feminina,297118.22,368
Serviços,296940.19,450
Presentes e Acessórios,262787.09,1014
Ótica,208620.98,170
Infantil,181534.48,652
Eletrodomésticos,148839.58,63
Farmácias,119545.62,567
Livrarias,73825.34,602
Pets,62293.37,363
Papelaria,59082.12,416
Kids,18115.27,169
