perfil_cliente,qtd_clientes,valor_total,frequencia_media,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,pct_clientes,pct_valor
VIP,1088,2325943.77,11.135110294117647,4.489889705882353,4.754595588235294,4.573529411764706,13.818014705882353,2137.8159650735292,17.22,44.8
Premium,1654,1647792.4,5.106408706166868,3.4564691656590085,3.7896009673518742,3.7031438935912937,10.949214026602176,996.2469165659008,26.17,31.73
Potencial,1985,960426.8,2.470528967254408,2.796977329974811,2.534005037783375,2.6926952141057936,8.02367758186398,483.84221662468514,31.41,18.5
Pontual,1593,258225.18,1.3785310734463276,1.761456371625863,1.5624607658505965,1.5781544256120528,4.902071563088512,162.09992467043315,25.21,4.97
