quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,2.400000000000034,1.0,117.84400000000001,Continente Shopping
40%,7.0,2.0,255.24800000000025,Continente Shopping
60%,14.0,4.0,494.59399999999994,Continente Shopping
80%,22.0,7.0,986.1820000000007,Continente Shopping
20%,2.0,1.0,159.924,Neumarkt Shopping
40%,7.0,3.0,363.98400000000004,Neumarkt Shopping
60%,13.0,4.0,647.7259999999998,Neumarkt Shopping
80%,21.0,8.0,1258.8480000000002,Neumarkt Shopping
20%,4.0,1.0,142.20000000000002,Norte Shopping
40%,10.0,2.0,275.6600000000001,Norte Shopping
60%,17.0,3.0,486.194,Norte Shopping
80%,24.0,6.0,892.3480000000003,Norte Shopping
20%,3.0,1.0,127.09400000000002,Nações Shopping
40%,7.0,2.0,258.988,Nações Shopping
60%,15.0,3.0,430.196,Nações Shopping
80%,22.0,5.0,760.7420000000003,Nações Shopping
20%,3.0,1.0,159.76800000000003,Balneário Shopping
40%,9.0,2.0,339.98400000000004,Balneário Shopping
60%,16.0,3.0,678.9099999999999,Balneário Shopping
80%,23.0,5.0,1431.0120000000002,Balneário Shopping
20%,2.0,1.0,121.24,Garten Shopping
40%,7.0,2.0,289.69800000000004,Garten Shopping
60%,13.0,4.0,568.604,Garten Shopping
80%,20.0,6.0,1093.3200000000002,Garten Shopping
