faixa_etaria,segmento,valor,clientes,ranking
Gen X (1965-1980),Moda,5128312.5,5762,1
Gen X (1965-1980),Joalheria,1455322.6,569,2
Gen X (1965-1980),Calçados,986332.86,1727,3
Gen X (1965-1980),Beleza e Bem-estar,761164.84,1944,4
Gen X (1965-1980),Gastronomia,628160.72,3308,5
Millennials (1981-1996),Moda,8666286.62,9999,1
Millennials (1981-1996),Joalheria,2061824.53,889,2
Millennials (1981-1996),Calçados,1554043.42,2854,3
Millennials (1981-1996),Beleza e Bem-estar,1224483.21,3162,4
Millennials (1981-1996),Gastronomia,997214.0599999999,5523,5
Gen Z (1997-2012),Moda,1977865.81,2763,1
Gen Z (1997-2012),Joalheria,432734.2,262,2
Gen Z (1997-2012),Beleza e Bem-estar,350470.57,943,3
Gen Z (1997-2012),Calçados,346133.11,691,4
Gen Z (1997-2012),Gastronomia,249459.38999999998,1411,5
Boomers (1946-1964),Moda,1180769.37,1385,1
Boomers (1946-1964),Joalheria,369401.35,129,2
Boomers (1946-1964),Calçados,257125.65,420,3
Boomers (1946-1964),Casa e Decoração,203112.14,338,4
Boomers (1946-1964),Beleza e Bem-estar,164605.85,432,5
Nao Informado,Moda,35956.3,52,1
Nao Informado,Calçados,9680.34,21,2
Nao Informado,Eletrônicos,8107.0,3,3
Nao Informado,Casa e Decoração,7237.6,10,4
Nao Informado,Moda Feminina,4270.7,6,5
Silent (antes 1946),Moda,48045.22,45,1
Silent (antes 1946),Presentes e Acessórios,12620.73,10,2
Silent (antes 1946),Calçados,12040.12,18,3
Silent (antes 1946),Telefonia,11483.880000000001,5,4
Silent (antes 1946),Gastronomia,5449.15,23,5
