genero,segmento,valor,clientes,ranking
Feminino,Moda,546862.0,995,1
Feminino,Joalheria,250888.09,69,2
Feminino,Gastronomia,186045.32,1026,3
Feminino,Beleza e Bem-estar,126284.92,492,4
Feminino,Calçados,91408.42,264,5
Masculino,Moda,162359.07,234,1
Masculino,Gastronomia,82081.81,395,2
Masculino,Joalheria,41304.26,21,3
Masculino,Casa e Decoração,33810.1,67,4
Masculino,Telefonia,22436.37,5,5
Outro,Moda,365.92,1,1
Outro,Gastronomia,215.67000000000002,2,2
Outro,Beleza e Bem-estar,64.0,1,3
Outro,Livrarias,55.9,1,4
Nao Informado,Serviços,30.0,1,1
