segmento,valor,clientes
Moda,592176.81,1103
Joalheria,150856.83,85
Telefonia,136877.25,37
Gastronomia,129389.68,871
Casa e Decoração,127377.99,68
Esportes,116862.13,345
Calçados,92177.88,299
Infantil,89259.66,234
Beleza e Bem-estar,71588.77,354
Eletrodomésticos,56639.73,173
Moda Feminina,52343.99,103
Papelaria,47176.39,265
Ótica,38908.89,35
Livrarias,35835.48,262
Eletrônicos,26726.0,19
Presentes e Acessórios,22876.28,96
Pets,22572.98,154
Farmácias,15338.61,171
Salão de Beleza | Barbearia,59.0,1
Lazer,54.0,1
