genero,qtd_clientes,valor_total,pct_clientes
Feminino,19011,37935413.39,64.85739628820961
Masculino,10253,17886759.81,34.97884825327511
Nao Informado,26,30106.04,0.08870087336244542
Outro,22,25869.13,0.07505458515283843
