segmento,valor,clientes
Moda,15585481.76,15995
Joalheria,5862371.48,2705
Calçados,4542009.88,7690
Beleza e Bem-estar,4537392.79,9577
Gastronomia,3889867.7,10784
Casa e Decoração,3457033.31,6578
Moda Feminina,2650724.39,2698
Esportes,2593670.08,4983
Telefonia,2133153.87,683
Ótica,1917556.33,1113
Presentes e Acessórios,1635524.98,2954
Serviços,1443070.57,2284
Eletrônicos,1419506.47,1113
Livrarias,1068391.16,5083
Infantil,1030360.29,2688
Papelaria,580610.13,2827
Farmácias,442478.39,2217
Eletrodomésticos,405994.39,3020
Pets,405061.07,1304
Gastronomia - Restaurante,160438.98,464
