loja,valor,clientes
Renner,3456974.7600000002,6549
Vivara,3185571.49,907
Havan,2421312.26,5077
Centauro,1698673.21,3715
Riachuelo,1644008.72,4261
Cvc Viagens,1338654.95,96
Shoulder,1253849.86,957
Idéli.Oui,1164824.7,1097
Le Lis ,1114571.53,521
Brooksfield,1074084.34,709
Livrarias Catarinense,1068391.16,5083
Life by Vivara,1000144.69,1127
Cia do Homem,995237.92,1228
Hering Store,951651.43,2269
Track & Field,918058.86,1022
Ri Happy,871035.28,2325
Luz da Lua,836824.11,794
Vivo,820782.24,166
Avatim,795099.22,3096
Óticas Carol,744451.5,385
