segmento,valor,clientes
Moda,2434434.08,3409
Gastronomia,621068.52,2302
Beleza e Bem-estar,484317.01,1265
Casa e Decoração,414578.4,697
Joalheria,392418.01,331
Esportes,358459.46,809
Calçados,328368.37,1000
Eletrônicos,230435.51,50
Infantil,193568.57,671
Calçados Femininos,188703.49,204
Farmácias,103513.37,599
Hub da Saúde,92196.37,22
Não informado,87753.22,608
Ótica,80841.26,102
Moda Feminina,72180.38,171
Presentes e Acessórios,66916.61,122
Livrarias,65287.31,452
Pets,65124.97,340
Outros,55286.44,216
Eletrodomésticos,37434.62,333
