loja,valor,clientes
Renner,496740.04,1196
Cassol Centerlar,329610.29,320
C&A,302677.3,927
Vivara,299817.2,146
Centauro,273791.23,608
Riachuelo,255804.63,824
Samsung,223616.01,43
Essence Parfums,201246.55,150
Luz da Lua,188703.49,204
Farm,146013.8,203
Calvin Klein e Tommy Hilfiger,127667.0,151
Pittol,125137.36,399
Empório Du Homem,123607.45,77
Youcom,119510.41,330
Las Leñas Parrilla Uruguaya,113789.49,43
Békko,107830.38,134
Ri Happy,103541.68000000001,405
Ortobom ,92196.37,22
Cacau Show,84580.69,588
Crocs,80395.05,187
