faixa_etaria,qtd_clientes,valor_total,pct_clientes
16-24 (Gen Z),28,21514.739999999998,4.886561954624781
25-39 (Millennials),215,169148.56,37.52181500872601
40-54 (Gen X),240,188677.11,41.8848167539267
55-69 (Boomers),83,69524.06,14.485165794066319
70+ (Silent),7,2856.35,1.2216404886561953
