segmento,valor,clientes
Moda,931444.51,1315
Gastronomia,529862.87,1479
Calçados,262071.58,517
Casa e Decoração,242528.04,698
Beleza e Bem-estar,236152.17,742
Esportes,203060.28,415
Ótica,180197.97,61
Joalheria,143987.66,119
Infantil,104860.02,282
Moda Feminina,99616.81,109
Farmácias,72976.22,378
Presentes e Acessórios,70186.84,182
Livrarias,65946.37,446
Eletrodomésticos,61419.02,532
Pets,60384.37,225
Telefonia,58776.770000000004,21
Papelaria,49519.7,418
Eletrônicos,46187.37,65
Gastronomia - Restaurante,18255.46,64
Lazer,10078.0,110
