genero,qtd_clientes,valor_total,pct_clientes
Feminino,1895,2623327.9,72.66104294478528
Masculino,701,824904.51,26.878834355828218
Nao Informado,8,4125.56,0.3067484662576687
Outro,4,5437.41,0.15337423312883436
