loja,valor,clientes
Renner,290705.73,676
Havan,188588.03,524
Centauro,122850.25,305
Riachuelo,106707.93000000001,396
Ri Happy,80924.07,239
Panvel Farmácias,72976.22,378
Livrarias Catarinense,65946.37,446
Shoulder,65021.840000000004,46
GrandVision,63940.61,16
Madero,61859.82,179
Lojas Americanas,61419.02,532
Cobasi,60384.37,225
TNG,59940.69,104
Óticas Carol,58438.94,27
Adidas,58108.450000000004,84
Luz da Lua,57138.21,56
Me.Linda,53137.28,342
Kalunga,49519.7,418
Brooksfield,48802.17,36
Maze,48237.99,49
