genero,qtd_clientes,valor_total,pct_clientes
Feminino,1098,1118404.62,69.10006293266206
Masculino,480,465877.43,30.207677784770297
Nao Informado,8,3349.73,0.5034612964128383
Outro,3,3020.46,0.18879798615481436
