loja,valor,clientes
Renner,133947.5,349
C&A,101021.53,295
Outback SteakHouse,74176.83,90
Las Leñas Parrilla Uruguaya,61279.79,24
Riachuelo,59625.3,211
Centauro,56660.020000000004,135
Essence Parfums,44014.51,9
Me Linda,42230.01,171
Colcci,42110.25,29
Samsung,36198.0,7
JAH Açaí,35457.17,52
Beagle,34888.89,47
Pittol,31417.57,102
Arezzo,30914.69,27
Cassol Centerlar,30398.76,95
Cobasi,27419.81,139
Live!,26607.43,26
Kings ,25247.239999999998,27
Panvel Farmácias,23894.01,143
Youcom,23375.760000000002,61
