loja,valor,clientes
Renner,77635.7,164
Vivara,65993.95,21
Nike Unite,61214.590000000004,101
Vivo,46163.0,7
Centauro,32386.32,72
C&A,32166.84,83
Riachuelo,30598.24,95
Panvel Farmácias,17249.95,90
Lojas Americanas,16357.38,135
Audithorium Menswear,13730.26,12
Decathlon,11979.13,70
Pernambucanas,11972.76,45
Luz da Lua,11745.6,8
Carioca Calçados,11183.57,25
Óticas Carol,10288.0,7
Cobasi,9748.64,47
Arezzo,9622.16,11
Companhia da Moda,9183.61,10
Livrarias Catarinense,9144.32,79
Ri Happy Baby,8866.02,62
