segmento,valor,clientes
Moda,7023438.44,8858
Joalheria,1426872.58,655
Calçados,1276945.99,2701
Telefonia,1164517.01,299
Gastronomia,1106379.24,5012
Esportes,1039626.48,2375
Beleza e Bem-estar,767694.42,2557
Ótica,725600.41,434
Eletrodomésticos,488620.32,979
Casa e Decoração,371353.86,584
Não informado,311096.66,388
Moda Feminina,304795.93,373
Presentes e Acessórios,209296.47,638
Eletrônicos,193371.8,125
Livrarias,128429.63,949
Pets,126719.28,593
Papelaria,121299.08,806
Infantil,119534.41,548
Farmácias,104978.26,747
Serviços,29672.44,818
