quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,14.0,1.0,252.33600000000004,Garten Shopping
40%,20.0,2.0,459.936,Garten Shopping
60%,21.0,3.0,737.8199999999997,Garten Shopping
80%,26.0,4.0,1314.6780000000006,Garten Shopping
20%,12.0,1.0,240.9900000000001,Neumarkt Shopping
40%,17.0,2.0,471.97800000000007,Neumarkt Shopping
60%,21.0,3.0,804.3980000000001,Neumarkt Shopping
80%,24.0,5.0,1486.9400000000003,Neumarkt Shopping
20%,13.0,1.0,133.818,Nações Shopping
40%,17.0,1.0,353.988,Nações Shopping
60%,20.0,2.0,616.096,Nações Shopping
80%,24.0,4.0,1268.046,Nações Shopping
20%,12.0,1.0,277.03,Continente Shopping
40%,18.0,2.0,475.54200000000003,Continente Shopping
60%,21.0,3.0,779.154,Continente Shopping
80%,25.0,5.0,1426.0280000000002,Continente Shopping
20%,14.0,1.0,174.29600000000002,Norte Shopping
40%,20.0,2.0,379.798,Norte Shopping
60%,21.0,2.0,636.7579999999998,Norte Shopping
80%,26.0,4.0,1225.2940000000003,Norte Shopping
20%,13.0,1.0,269.02,Balneário Shopping
40%,19.0,2.0,535.9879999999999,Balneário Shopping
60%,21.0,3.0,879.8100000000001,Balneário Shopping
80%,25.0,5.0,1738.8719999999996,Balneário Shopping
