loja,valor,clientes
Renner,222706.05,570
Nike Unite,171290.35,262
C&A,152050.65,426
Centauro,127085.51000000001,264
Magazine Luiza,120542.27,33
Riachuelo,104438.18000000001,360
Vivara,94840.94,36
Empório Du Homem,82378.72,54
Óticas Carol,73535.26,20
Tommy Hilfiger,70670.06,33
Panvel Farmácias,66517.25,416
Lojas Americanas,65215.37,628
iPlace Mobile,56367.07,9
Decathlon,56064.65,260
Vivo,53848.0,9
Outback Steakhouse,52022.57,150
Carioca Calçados,50520.21,130
Studio Z,42195.37,198
Clifield,41829.73,59
Arquipélago  Sushi,41231.35,38
