loja,valor,clientes
Renner,382172.9,804
Vivara,202113.7,101
C&A,163210.77000000002,452
Riachuelo,138116.08000000002,373
Empório Du Homem,137849.32,83
Centauro,134011.5,303
Essence Parfums,133316.58,134
Luz da Lua,124461.18,127
Calvin Klein e Tommy Hilfiger,110607.0,114
Youcom,106102.62,237
Békko,95651.55,79
Pittol,93945.73,251
Cassol Centerlar,90985.54,148
Samsung,84224.8,18
Colcci,79718.1,38
Beagle,70690.47,105
Ortobom ,56733.13,18
Kings ,48931.82,55
Santo Boteco,47721.55,127
Arezzo,46976.8,75
