segmento,valor,clientes
Moda,1673928.02,2166
Beleza e Bem-estar,273149.66,676
Gastronomia,243121.45,1336
Joalheria,229746.31,134
Esportes,165012.93,362
Calçados,159069.14,377
Casa e Decoração,130499.91,339
Calçados Femininos,124461.18,127
Eletrônicos,84224.8,18
Infantil,69822.22,246
Hub da Saúde,56733.13,18
Farmácias,53205.5,309
Pets,44943.72,233
Não informado,38621.38,374
Livrarias,33877.47,244
Ótica,33171.39,35
Presentes e Acessórios,27659.63,69
Outros,24475.22,64
Eletrodomésticos,9229.289999999999,133
Papelaria,8061.49,50
