segmento,valor,clientes
Moda,965318.68,1692
Gastronomia,246081.52,1459
Telefonia,205499.73,69
Calçados,192810.82,624
Esportes,186830.01,549
Joalheria,183479.75,90
Eletrodomésticos,166969.29,349
Ótica,108752.3,99
Beleza e Bem-estar,107111.78,575
Infantil,79474.52,284
Moda Feminina,66120.5,117
Papelaria,66094.7,328
Eletrônicos,63383.8,21
Livrarias,54248.63,354
Não informado,52854.88,119
Presentes e Acessórios,49901.0,146
Casa e Decoração,44783.98,136
Farmácias,32015.66,245
Pets,25050.37,168
Serviços,8485.24,266
