segmento,valor,clientes
Moda,231712.94,357
Gastronomia,122547.92,402
Beleza e Bem-estar,57261.11,107
Infantil,31580.98,104
Esportes,29594.84,85
Calçados,24961.34,98
Casa e Decoração,17984.13,75
Joalheria,17716.78,16
Farmácias,14773.72,92
Pets,9950.210000000001,57
Livrarias,9607.66,74
Calçados Femininos,9365.0,10
Não informado,8340.11,20
Eletrodomésticos,7097.55,90
Papelaria,4115.75,17
Outros,4041.0,15
Presentes e Acessórios,4000.25,18
Ótica,2318.05,4
Gastronomia - Sorvetes,615.92,17
Lazer,398.0,8
