segmento,valor,clientes
Moda,337178.68,625
Gastronomia,155133.07,792
Eletrodomésticos,86664.21,256
Calçados,68064.27,182
Beleza e Bem-estar,57349.46,284
Esportes,56850.76,185
Telefonia,54092.82,12
Ótica,33488.4,16
Presentes e Acessórios,26022.11,55
Joalheria,22522.239999999998,32
Farmácias,21474.29,171
Papelaria,13631.06,141
Livrarias,12498.210000000001,142
Infantil,11579.49,44
Pets,11250.460000000001,85
Eletrônicos,9181.8,6
Moda Feminina,9051.44,13
Não informado,7181.26,23
Fast Food,6399.95,95
Casa e Decoração,4587.19,63
