quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,29.0,1.0,418.36800000000005,Neumarkt Shopping
40%,44.0,3.0,819.964,Neumarkt Shopping
60%,232.0,5.0,1548.97,Neumarkt Shopping
80%,399.0,10.0,3426.3280000000004,Neumarkt Shopping
20%,34.0,1.0,386.32200000000006,Garten Shopping
40%,55.0,2.0,699.8,Garten Shopping
60%,253.0,4.0,1227.9959999999999,Garten Shopping
80%,404.0,8.0,2501.496,Garten Shopping
20%,33.0,1.0,385.5,Continente Shopping
40%,64.0,2.0,696.0240000000001,Continente Shopping
60%,260.0,4.0,1201.92,Continente Shopping
80%,406.0,8.0,2365.7740000000013,Continente Shopping
20%,34.0,1.0,350.39,Norte Shopping
40%,66.0,2.0,630.0,Norte Shopping
60%,259.0,3.0,1080.57,Norte Shopping
80%,423.0,6.0,2226.02,Norte Shopping
20%,64.0,1.0,332.5540000000002,Nações Shopping
40%,236.0,2.0,582.7280000000002,Nações Shopping
60%,394.0,3.0,962.3179999999999,Nações Shopping
80%,423.0,6.0,1882.568,Nações Shopping
20%,29.0,1.0,449.99,Balneário Shopping
40%,50.0,2.0,866.0459999999999,Balneário Shopping
60%,238.0,4.0,1590.22,Balneário Shopping
80%,400.0,7.0,3398.4280000000017,Balneário Shopping
