shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Balneário Shopping,Pontual,1,Moda,6194969.21,43.4,20102,14752
Balneário Shopping,Pontual,2,Beleza e Bem-estar,1675095.81,11.74,7598,6215
Balneário Shopping,Pontual,3,Calçados,1660874.15,11.64,5251,4774
Balneário Shopping,Pontual,4,Gastronomia,1367464.82,9.58,12575,7660
Balneário Shopping,Pontual,5,Esportes,860278.49,6.03,2541,2382
Balneário Shopping,Pontual,6,Infantil,802702.96,5.62,3380,2878
Balneário Shopping,Pontual,7,Presentes e Acessórios,531035.96,3.72,2477,2207
Balneário Shopping,Pontual,8,Joalheria,479204.13,3.36,953,921
Balneário Shopping,Pontual,9,Moda Feminina,421646.55,2.95,1147,1065
Balneário Shopping,Pontual,10,Ótica,279683.43,1.96,580,563
Balneário Shopping,Potencial,1,Moda,12995918.99,47.92,29253,13956
Balneário Shopping,Potencial,2,Beleza e Bem-estar,2797141.7,10.31,9322,6009
Balneário Shopping,Potencial,3,Calçados,2688290.83,9.91,6243,4928
Balneário Shopping,Potencial,4,Esportes,1546761.54,5.7,3486,2822
Balneário Shopping,Potencial,5,Gastronomia,1524683.51,5.62,13348,6192
Balneário Shopping,Potencial,6,Joalheria,1435139.68,5.29,1630,1444
Balneário Shopping,Potencial,7,Infantil,1241974.02,4.58,4237,3015
Balneário Shopping,Potencial,8,Moda Feminina,1084160.24,4.0,1616,1396
Balneário Shopping,Potencial,9,Presentes e Acessórios,922800.86,3.4,3211,2590
Balneário Shopping,Potencial,10,Ótica,884118.87,3.26,985,917
Balneário Shopping,Premium,1,Moda,13766708.91,46.89,25626,8208
Balneário Shopping,Premium,2,Beleza e Bem-estar,3108583.38,10.59,8363,4399
Balneário Shopping,Premium,3,Calçados,2452483.46,8.35,4909,3404
Balneário Shopping,Premium,4,Joalheria,2407564.04,8.2,1722,1401
Balneário Shopping,Premium,5,Moda Feminina,1684902.6,5.74,1738,1373
Balneário Shopping,Premium,6,Gastronomia,1406432.23,4.79,12178,4291
Balneário Shopping,Premium,7,Esportes,1255431.36,4.28,2593,1911
Balneário Shopping,Premium,8,Infantil,1206259.35,4.11,3841,2304
Balneário Shopping,Premium,9,Ótica,1058677.06,3.61,818,708
Balneário Shopping,Premium,10,Casa e Decoração,1013835.3,3.45,1630,1157
Balneário Shopping,VIP,1,Moda,37320734.22,40.0,55987,8653
Balneário Shopping,VIP,2,Joalheria,16979406.61,18.2,4675,2836
Balneário Shopping,VIP,3,Beleza e Bem-estar,8486927.51,9.1,19697,5833
Balneário Shopping,VIP,4,Moda Feminina,6087898.88,6.53,4524,2452
Balneário Shopping,VIP,5,Calçados,5481599.51,5.88,9070,4405
Balneário Shopping,VIP,6,Eletrônicos,5265299.48,5.64,1646,1219
Balneário Shopping,VIP,7,Gastronomia,3975360.85,4.26,33971,5609
Balneário Shopping,VIP,8,Casa e Decoração,3879513.29,4.16,4673,2326
Balneário Shopping,VIP,9,Infantil,3294344.0500000003,3.53,9840,3496
Balneário Shopping,VIP,10,Ótica,2522529.6,2.7,1456,1110
Continente Shopping,Pontual,1,Moda,6300750.99,49.96,22433,15707
Continente Shopping,Pontual,2,Calçados,1542722.96,12.23,5692,5019
Continente Shopping,Pontual,3,Gastronomia,1309838.38,10.39,17365,8825
Continente Shopping,Pontual,4,Esportes,1144554.3800000001,9.08,4553,3936
Continente Shopping,Pontual,5,Beleza e Bem-estar,840650.72,6.67,4935,4059
Continente Shopping,Pontual,6,Eletrodomésticos,335305.22,2.66,2493,1917
Continente Shopping,Pontual,7,Joalheria,300017.72,2.38,699,666
Continente Shopping,Pontual,8,Ótica,288192.78,2.29,533,521
Continente Shopping,Pontual,9,Presentes e Acessórios,285101.25,2.26,1269,1135
Continente Shopping,Pontual,10,Infantil,263550.41,2.09,1429,1263
Continente Shopping,Potencial,1,Moda,10304556.64,51.04,26928,11335
Continente Shopping,Potencial,2,Calçados,2047043.3,10.14,6312,4583
Continente Shopping,Potencial,3,Esportes,1719083.46,8.51,5134,3715
Continente Shopping,Potencial,4,Gastronomia,1429426.45,7.08,18941,6059
Continente Shopping,Potencial,5,Beleza e Bem-estar,1182294.5,5.86,5360,3602
Continente Shopping,Potencial,6,Ótica,939535.11,4.65,979,920
Continente Shopping,Potencial,7,Joalheria,844102.09,4.18,1090,972
Continente Shopping,Potencial,8,Eletrodomésticos,784157.43,3.88,2902,1782
Continente Shopping,Potencial,9,Infantil,472460.97000000003,2.34,1878,1473
Continente Shopping,Potencial,10,Telefonia,467649.75,2.32,359,328
Continente Shopping,Premium,1,Moda,7692532.88,42.53,18303,4784
Continente Shopping,Premium,2,Calçados,1374070.78,7.6,4289,2475
Continente Shopping,Premium,3,Eletrodomésticos,1336184.37,7.39,2515,1258
Continente Shopping,Premium,4,Gastronomia,1282458.45,7.09,17680,3294
Continente Shopping,Premium,5,Telefonia,1272069.88,7.03,517,448
Continente Shopping,Premium,6,Ótica,1250643.33,6.91,816,706
Continente Shopping,Premium,7,Joalheria,1249016.11,6.91,936,778
Continente Shopping,Premium,8,Esportes,1166261.16,6.45,3359,2004
Continente Shopping,Premium,9,Beleza e Bem-estar,957964.12,5.3,4231,2183
Continente Shopping,Premium,10,Casa e Decoração,505947.54,2.8,837,633
Continente Shopping,VIP,1,Moda,10824271.27,33.19,25754,3337
Continente Shopping,VIP,2,Telefonia,4753634.03,14.58,1260,751
Continente Shopping,VIP,3,Joalheria,4609665.6,14.13,1583,979
Continente Shopping,VIP,4,Gastronomia,2844470.8,8.72,43102,2747
Continente Shopping,VIP,5,Eletrodomésticos,2032260.82,6.23,5183,1288
Continente Shopping,VIP,6,Calçados,1887818.77,5.79,5925,2088
Continente Shopping,VIP,7,Ótica,1589827.62,4.87,897,663
Continente Shopping,VIP,8,Beleza e Bem-estar,1501327.95,4.6,7289,2000
Continente Shopping,VIP,9,Esportes,1379567.62,4.23,4520,1769
Continente Shopping,VIP,10,Eletrônicos,1192043.54,3.65,619,363
Garten Shopping,Pontual,1,Moda,5359969.51,45.86,19869,13884
Garten Shopping,Pontual,2,Calçados,1484773.14,12.7,5421,4820
Garten Shopping,Pontual,3,Esportes,1021273.97,8.74,3256,2979
