quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,33.0,1.0,394.3920000000001,Global
40%,60.0,2.0,724.9,Global
60%,253.0,4.0,1299.148,Global
80%,405.0,8.0,2711.844000000003,Global
