segmento,valor,clientes
Moda,1241420.89,1319
Beleza e Bem-estar,304888.27,642
Moda Feminina,189339.6,199
Calçados,179859.72,334
Joalheria,161584.2,90
Gastronomia,147187.6,685
Infantil,133870.67,345
Presentes e Acessórios,128504.66,262
Casa e Decoração,127854.66,199
Esportes,92676.25,237
Eletrônicos,83897.57,50
Papelaria,59836.090000000004,246
Livrarias,45704.69,263
Telefonia,41224.16,8
Ótica,25573.83,29
Eletrodomésticos,17271.07,13
Farmácias,11827.789999999999,91
Supermercado,11246.31,131
Gastronomia - Restaurante,569.0,8
Serviços,273.5,3
