perfil_cliente,qtd_clientes,valor_total,ticket_medio,frequencia_media,pct_clientes,pct_valor
VIP,937,17288405.23,995.023015190061,2.1718249733191035,37.09,86.82
Premium,424,1505445.64,621.6266394158353,1.6603773584905661,16.79,7.56
Potencial,476,796011.34,594.8939299196952,1.5084033613445378,18.84,4.0
Pontual,689,323766.03,330.9772060842721,1.25544267053701,27.28,1.63
