shopping_principal,qtd_clientes,valor_total,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,vip_quintis,vip_valor_quintis,vip_ticket_quintis,premium_quintis,premium_valor_quintis,premium_ticket_quintis,potencial_quintis,potencial_valor_quintis,potencial_ticket_quintis,pontual_quintis,pontual_valor_quintis,pontual_ticket_quintis,pct_valor
Balneário Shopping,1618,1569279.6,3.0,3.0,3.0,9.0,969.8885043263289,266,593261.05,2230.3046992481204,435,477222.87,1097.0640689655172,529,359180.71,678.9805482041588,388,139614.97,359.8323969072165,62.79
Continente Shopping,456,374171.56,3.004385964912281,2.995614035087719,2.995614035087719,8.99561403508772,820.5516666666666,68,173771.29,2555.4601470588236,142,96280.66,678.0328169014085,127,86949.97,684.6454330708661,119,17169.64,144.28268907563026,14.97
Garten Shopping,164,302544.22,3.0,3.0,3.0,9.0,1844.7818292682925,20,51717.68,2585.884,57,131225.64,2302.204210526316,57,113218.65,1986.2921052631577,30,6382.25,212.74166666666667,12.11
Neumarkt Shopping,167,179351.02,3.0,3.0,3.0,9.0,1073.9582035928142,29,77518.06,2673.036551724138,42,68340.12,1627.1457142857141,58,28833.31,497.12603448275866,38,4659.53,122.61921052631578,7.18
Norte Shopping,61,47598.8,3.0327868852459017,2.9672131147540983,2.9672131147540983,8.967213114754099,780.3081967213116,10,18400.24,1840.0240000000001,15,17025.2,1135.0133333333333,23,10886.73,473.33608695652174,13,1286.6299999999999,98.97153846153846,1.9
Nações Shopping,60,26317.23,3.0,3.0,3.0,9.0,438.6205,6,3926.58,654.43,19,8326.66,438.2452631578947,26,12809.26,492.6638461538462,9,1254.73,139.41444444444446,1.05
