quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,9.0,1.0,210.0,Global
40%,18.0,1.0,369.81,Global
60%,28.0,1.0,646.25,Global
80%,43.0,2.0,1205.5,Global
