loja,valor,clientes
Vivara,485481.42,143
Renner,436019.34,1044
Nike Unite,417390.92000000004,755
C&A,261171.41,662
Centauro,242103.11000000002,538
Riachuelo,230004.56,605
Empório Du Homem,195526.87,183
Decathlon,152376.27,466
Clifield,142935.16,201
Arezzo,132092.84,217
iPlace Mobile,118390.23,32
Brooksfield,117744.92,94
Carioca Calçados,114799.21,244
Óticas Carol,113206.9,61
Claro,102751.92,31
Magazine Luiza,101358.95,42
Ótica Diniz,100764.45,50
IDELI.OUI,95237.86,150
Damyller ,95152.23,98
Luz da Lua,90508.17,75
