segmento,valor,clientes
Moda,6613622.44,6200
Joalheria,1533375.83,589
Beleza e Bem-estar,972241.73,2070
Calçados,936309.09,1485
Moda Feminina,587659.75,385
Gastronomia,538554.04,2782
Esportes,515592.22000000003,896
Eletrônicos,500747.77,175
Casa e Decoração,414977.02999999997,484
Ótica,369726.1,218
Infantil,300625.47000000003,860
Presentes e Acessórios,264331.02,782
Calçados Femininos,242682.9,382
Telefonia,227445.66,63
Eletrodomésticos,118929.05,50
Livrarias,107866.82,666
Serviços,71841.43,522
Supermercado,30967.4,370
Não informado,24454.81,41
Suplementos esportivos,8787.69,34
