segmento,valor,clientes
Moda,325466.15,345
Beleza e Bem-estar,57363.36,159
Joalheria,52812.75,23
Calçados,35940.95,69
Infantil,29923.61,72
Gastronomia,27648.41,164
Moda Feminina,24309.67,20
Presentes e Acessórios,14499.119999999999,35
Eletrônicos,13520.66,13
Esportes,13353.78,29
Ótica,11119.99,8
Telefonia,9138.0,2
Casa e Decoração,8675.43,26
Papelaria,6985.47,44
Eletrodomésticos,5088.0,1
Livrarias,3423.6,34
Supermercado,1934.1000000000001,34
Farmácias,1624.98,11
Serviços,488.3,3
Gastronomia - Restaurante,423.0,5
