loja,valor,clientes
Havan,174568.57,414
Atacadão,162847.25,357
Pittol,130313.6,348
Samsung,111188.0,33
Casas Bahia,80914.94,43
Riachuelo,69412.65,248
Renner,67973.33,220
Toni Toys ,61496.76,162
Magazine Luiza,53913.74,34
Centauro,43543.770000000004,115
Superlegal Brinquedos,41767.75,145
Cobasi,24639.55,134
EXCLUSIVA COLCHOES E ESTOFADOS,21934.52,7
Idéli.oui,21638.77,48
Hering,21236.02,55
Claro,20857.4,9
Paquetá,20544.690000000002,63
Polo Wear,20218.65,72
JCanedo,19918.83,31
Lojas Americanas,19794.61,168
